run	p1	base number	fraction	repetition	p2	n1	n2	trial
1	1.0	28	3.096394761561559	1	0.55	28	86	1
1	1.0	7	3.096394761561559	2	0.55	7	21	2
1	1.0	7	3.096394761561559	1	0.55	7	21	3
1	1.0	10	2.4778400150101443	2	0.55	10	24	4
1	1.0	20	2.2165714300470887	1	0.55	20	44	5
1	1.0	10	2.7699044825526067	2	0.55	10	27	6
1	1.0	28	2.4778400150101443	2	0.55	28	69	7
1	1.0	10	1.9828515459989777	1	0.55	10	19	8
1	1.0	20	1.9828515459989777	2	0.55	20	39	9
1	1.0	14	1.7737755707638132	2	0.55	14	24	10
1	0.55	28	1.7737755707638132	1	1.0	49	28	11
1	0.55	7	2.4778400150101443	1	1.0	17	7	12
1	0.55	7	1.9828515459989777	1	1.0	13	7	13
1	0.55	28	1.7737755707638132	2	1.0	49	28	14
1	0.55	14	2.2165714300470887	1	1.0	31	14	15
1	0.55	20	2.2165714300470887	1	1.0	44	20	16
1	0.55	7	2.7699044825526067	1	1.0	19	7	17
1	0.55	20	1.7737755707638132	2	1.0	35	20	18
1	0.55	7	1.7737755707638132	2	1.0	12	7	19
1	0.55	7	3.096394761561559	2	1.0	21	7	20
2	0.55	28	2.4778400150101443	2	1.0	69	28	21
2	0.55	28	3.096394761561559	1	1.0	86	28	22
2	0.55	10	2.7699044825526067	1	1.0	27	10	23
2	0.55	10	3.096394761561559	1	1.0	30	10	24
2	0.55	28	3.096394761561559	2	1.0	86	28	25
2	0.55	10	2.2165714300470887	1	1.0	22	10	26
2	0.55	10	1.9828515459989777	1	1.0	19	10	27
2	0.55	14	2.4778400150101443	1	1.0	34	14	28
2	0.55	20	1.9828515459989777	1	1.0	39	20	29
2	0.55	10	3.096394761561559	2	1.0	30	10	30
2	1.0	7	2.4778400150101443	2	0.55	7	17	31
2	1.0	14	2.2165714300470887	1	0.55	14	31	32
2	1.0	14	2.7699044825526067	2	0.55	14	38	33
2	1.0	7	1.7737755707638132	1	0.55	7	12	34
2	1.0	7	2.2165714300470887	1	0.55	7	15	35
2	1.0	14	1.9828515459989777	1	0.55	14	27	36
2	1.0	10	1.7737755707638132	2	0.55	10	17	37
2	1.0	28	1.9828515459989777	2	0.55	28	55	38
2	1.0	28	1.7737755707638132	2	0.55	28	49	39
2	1.0	28	2.2165714300470887	2	0.55	28	62	40
3	1.0	7	2.2165714300470887	2	0.55	7	15	41
3	1.0	14	2.2165714300470887	2	0.55	14	31	42
3	1.0	20	3.096394761561559	1	0.55	20	61	43
3	1.0	7	2.7699044825526067	1	0.55	7	19	44
3	1.0	28	3.096394761561559	2	0.55	28	86	45
